label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;flow_char;flow_char_set;flow_char_param
ground heat loop pump;Pump;['power input'];[None];[0.5439878667428647];['0x7fe26775d840'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;0.5222283520731501;False;False;0.7500000142552765;True;False;1.0101010101010102;False;False;0x7fe26779d150;False;v;0x7fe26779ec50;False;v
heating system pump;Pump;['power input'];[None];[0.5403963396280236];['0x7fe26775d840'];['bus'];['eta_s'];['eta_s_char'];nan;False;False;0.5187804860429026;False;False;0.7499999987460111;True;False;1.0101010101010102;False;False;0x7fe26779edd0;False;v;0x7fe26779c9d0;False;v
