,E_F,evaporator,valve,compressor,condenser,E_P
E_D,0.0,78.85219706617451,48.527667938567106,106.8500916365798,143.61042174149134,0.0
E_P,856.0281446159422,777.1759475497677,728.6482796112006,621.7981879746208,478.1877662331294,478.1877662331294
