,m,p,h,T,v,vol,s,x,Td_bp,Water,PHE,S800
source:out1_boiler:in1,100.0,5.0,11.927817356454685,5.0,0.10244903431560166,0.0010244903431560167,42.17534307955257,0.0,0.0,0.8,0.15,0.05
boiler:out1_press:in1,100.0,5.0,347.73276629402903,95.0,0.10731885384290359,0.0010731885384290358,1087.6845264098968,0.0,0.0,0.8,0.15,0.05
press:out1_liquidmerge:in1,23.333333333333332,5.0,242.16768988793567,85.0,0.026160149686381976,0.0011211492722735133,763.1933790048553,0.0,0.0,0.49999999999999994,0.45,0.05
press:out2_presswaterheater:in1,76.66666666666667,5.0,330.6883654544387,84.99999999999449,0.08038044079569369,0.0010484405321177436,1051.0286927193201,0.0,0.0,0.8913043478260869,0.05869565217391304,0.049999999999999996
presswaterheater:out1_decanter:in1,76.66666666666667,5.0,370.2784672443261,94.99999999999687,0.08096049019323474,0.0010560063938248009,1160.053457653331,0.0,0.0,0.8913043478260869,0.05869565217391304,0.049999999999999996
decanter:out1_liquidmerge:in2,3.857142857142857,5.0,281.54439230506006,90.0,0.0042684792118244125,0.001106642758621144,883.2089826934414,0.0,0.0,0.6,0.35,0.05
decanter:out2_centrifuge:in1,72.80952380952381,5.0,354.12058245226905,89.99999999999864,0.07639654564835188,0.0010492658329727858,1117.6733425160928,0.0,0.0,0.9067364290385874,0.043263570961412694,0.04999999999999999
centrifuge:out1_thickener:in1,69.86772486772487,5.0,181.05101285530006,44.99999999997766,0.07114264015923703,0.0010182475569932448,611.6350715142114,0.0,0.0,0.944914804998107,0.044664142370314276,0.010421052631578944
centrifuge:out2_oil:in1,2.9417989417989414,5.0,100.0781863246528,80.0,0.003335242690945141,0.0011337425694040138,308.9315041090459,0.0,0.0,0.0,0.01,0.99
thickener:out1_liquidmerge:in3,12.482328042328044,5.0,356.36268450896694,105.00000000000028,0.013748836912735783,0.0011014641552531674,1096.5687083290452,0.0,0.0,0.6916699164109263,0.25,0.058330083589074044
thickener:out2_vapourextract1:in1,57.385396825396825,5.0,440.55426498775586,104.99999999999773,0.060096661478605574,0.0010472465958797524,1363.0390021793273,-1.0,,1.0,0.0,0.0
liquidmerge:out1_drier:in1,39.67280423280423,5.0,281.9254277292509,92.28684488833795,0.044193935239153596,0.0011139604596594405,880.7937574528526,0.0,0.0,0.5700278468317561,0.37735124350507326,0.05262090966317069
drier:out1_meal:in1,18.953556731334505,5.0,184.93088408428466,99.99999999999937,0.022841343955262234,0.001205121776299661,559.4856087856919,0.0,0.0,0.1,0.7898560794044667,0.11014392059553352
drier:out2_vapourextract2:in1,20.719247501469727,1.0141799666808606,2675.5698844230105,100.00000000224776,34.637736274183936,1.6717661329991302,7354.119145674784,1.0,,1.0,0.0,0.0
